Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15092026,1922914637,0003415
Trade Date <15-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,303,AEPL,EQ,53631,43468,81.05
20,304,AEQUS,EQ,2201591,902939,41.01
20,305,AEROENTER,EQ,1916380,877292,45.78
20,306,AEROFLEX,EQ,1836440,819087,44.60
20,307,AERON,SM,8000,6000,75.00
20,308,AERONEU,EQ,22172,20231,91.25
20,309,AEROPLANE,EQ,921171,572064,62.10
20,310,AESTHETIK,SM,8000,8000,100.00
20,311,AETHER,EQ,405221,164649,40.63
20,312,AFCONS,EQ,26501568,3962714,14.95
20,313,AFFLE,EQ,132668,66102,49.83
20,314,AFFORDABLE,EQ,16702,11718,70.16
20,315,AFIL,EQ,634241,437668,69.01
20,316,AFSL,EQ,7901,6454,81.69
20,317,AGARIND,EQ,51633,23873,46.24
20,318,AGARWALEYE,EQ,195769,103821,53.03
20,319,AGARWALTUF,SM,27600,20400,73.91
20,320,AGI,EQ,91711,44560,48.59
20,321,AGIIL,EQ,382898,174084,45.46
20,322,AGL,EQ,2608653,1411281,54.10
20,323,AGRITECH,EQ,2551,2144,84.05
20,324,AGROPHOS,EQ,22908,16358,71.41
20,325,AHCL,EQ,165056337,17797082,10.78
20,326,AHLADA,EQ,10913,8610,78.90
20,327,AHLEAST,EQ,1187,1081,91.07
20,328,AHLUCONT,EQ,66007,34413,52.14
20,329,AIAENG,EQ,43966,23861,54.27
20,330,AIIL,EQ,279515,122652,43.88
20,331,AILIMITED,SM,6000,6000,100.00
20,332,AIMTRON,SM,63000,40000,63.49
20,333,AIRAN,EQ,157643,91815,58.24
20,334,AIROLAM,EQ,2779,1825,65.67
20,335,AISL,SM,1800,1800,100.00
20,336,AJANTPHARM,EQ,78118,54482,69.74
20,337,AJAXENGG,EQ,70412,41247,58.58
20,338,AJMERA,EQ,421507,228661,54.25
20,339,AJOONI,EQ,317027,232342,73.29
20,340,AKANKSHA,SM,9000,9000,100.00
20,341,AKASH,EQ,1710,1612,94.27
20,342,AKCAPIT,EQ,1383,1322,95.59
20,343,AKG,EQ,49896,46977,94.15
20,344,AKIKO,SM,2400,2400,100.00
20,345,AKSHAR,EQ,395939,246908,62.36
20,346,AKUMS,EQ,345164,169964,49.24
20,347,ALANKIT,EQ,78407,65772,83.89
20,348,ALBERTDAVD,EQ,5779,2984,51.64
20,349,ALCODIS,SM,1250,1250,100.00
20,350,ALEMBICLTD,EQ,840743,474039,56.38
20,351,ALFREDHE,EQ,69,55,79.71
