Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01092026,1896048543,0003394
Trade Date <01-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3374,ZAGGLE,EQ,793985,286494,36.08
20,3375,ZEAL,SM,600,600,100.00
20,3376,ZEEL,EQ,34196527,6543802,19.14
20,3377,ZEEMEDIA,EQ,2356630,1305029,55.38
20,3378,ZENITHDRUG,SM,11200,10400,92.86
20,3379,ZENITHEXPO,EQ,6,3,50.00
20,3380,ZENITHSTL,EQ,95165,70666,74.26
20,3381,ZENSARTECH,EQ,1122083,383892,34.21
20,3382,ZENTEC,EQ,334400,143230,42.83
20,3383,ZFCVINDIA,EQ,74180,32795,44.21
20,3384,ZFSTEERING,EQ,1771,1270,71.71
20,3385,ZIMLAB,EQ,48245,29357,60.85
20,3386,ZODIAC,EQ,8651,5582,64.52
20,3387,ZODIACLOTH,EQ,2074,1688,81.39
20,3388,ZOTA,EQ,54097,35276,65.21
20,3389,ZSARACOM,EQ,14,11,78.57
20,3390,ZTECH,SM,44700,36000,80.54
20,3391,ZUARI,EQ,100203,43180,43.09
20,3392,ZUARIIND,EQ,109252,61391,56.19
20,3393,ZYDUSLIFE,EQ,1070386,505124,47.19
20,3394,ZYDUSWELL,EQ,128038,63940,49.94
