Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31082026,3068735779,0003375
Trade Date <31-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,211,990SCL27,YT,2,2,100.00
20,212,990SCL28,N1,50,50,100.00
20,213,995SCL2035,NM,500,500,100.00
20,214,99AEL29,N7,40,30,75.00
20,215,9IIFL28,Y0,200,200,100.00
20,216,9IIFL28A,NT,30,30,100.00
20,217,9PCPL28A,N0,4,4,100.00
20,218,9PFL31A,NA,101,101,100.00
20,219,9SCL27,N2,100,50,50.00
20,220,A2ZINFRA,EQ,242582,202038,83.29
20,221,AAATECH,EQ,9982,6331,63.42
20,222,AADHARHFC,EQ,213894,101586,47.49
20,223,AAKAAR,SM,12800,12800,100.00
20,224,AAKASH,EQ,60911,45368,74.48
20,225,AARADHYA,SM,15600,15600,100.00
20,226,AAREYDRUGS,EQ,102279,67151,65.65
20,227,AARON,EQ,10274,5886,57.29
20,228,AARTIDRUGS,EQ,59488,32709,54.98
20,229,AARTIIND,EQ,635813,328082,51.60
20,230,AARTIPHARM,EQ,522950,228891,43.77
20,231,AARVI,EQ,7731,4218,54.56
20,232,AASTHA,EQ,2089353,322987,15.46
20,233,AAVAS,EQ,242642,76019,31.33
20,234,ABANSENT,EQ,4492,3425,76.25
20,235,ABB,EQ,227223,124089,54.61
20,236,ABBOTINDIA,EQ,6684,3805,56.93
20,237,ABCAPITAL,EQ,5834090,3419601,58.61
20,238,ABCOTS,EQ,37858,20116,53.14
20,239,ABDL,EQ,289013,164881,57.05
20,240,ABFRL,EQ,5405597,2306174,42.66
20,241,ABGSEC,EQ,407,85,20.88
20,242,ABHAPOWER,SM,1600,1600,100.00
20,243,ABLBL,EQ,1171891,624192,53.26
20,244,ABMKNO,EQ,197,150,76.14
20,245,ABREL,EQ,187059,115093,61.53
20,246,ABSL10BANK,EQ,6800,3629,53.37
20,247,ABSLAMC,EQ,297155,171947,57.86
20,248,ABSLBANETF,EQ,47821,30174,63.10
20,249,ABSLLIQUID,EQ,2299,1935,84.17
20,250,ABSLMSCIN,EQ,808,774,95.79
20,251,ABSLNN50ET,EQ,9108,6750,74.11
20,252,ABSLPSE,EQ,414363,317039,76.51
20,253,ABSMARINE,SM,82000,60000,73.17
20,254,ACC,EQ,274811,174482,63.49
20,255,ACCELYA,EQ,4779,2888,60.43
20,256,ACCENTMIC,SM,15000,9500,63.33
20,257,ACCPL,ST,15600,15600,100.00
20,258,ACE,EQ,325647,158178,48.57
20,259,ACEINTEG,EQ,1733,1381,79.69
20,260,ACETEC,SM,86400,86400,100.00
20,261,ACGL,EQ,583,515,88.34
20,262,ACI,EQ,211062,107772,51.06
20,263,ACL,EQ,11870,9013,75.93
20,264,ACMESOLAR,EQ,3008269,1875778,62.35
20,265,ACTIVEINFR,SM,2400,2400,100.00
20,266,ACUTAAS,EQ,490517,325846,66.43
20,267,ADANIENSOL,EQ,35589890,29550724,83.03
20,268,ADANIENT,EQ,12872435,9771644,75.91
20,269,ADANIGREEN,EQ,2461573,1555392,63.19
20,270,ADANIPORTS,EQ,9621819,7910724,82.22
20,271,ADANIPOWER,EQ,53907969,35395341,65.66
20,272,ADDICTIVE,SM,2000,1000,50.00
20,273,ADDIND,EQ,423,340,80.38
20,274,ADFFOODS,EQ,36649,14137,38.57
20,275,ADISOFT,SM,31200,24000,76.92
20,276,ADL,EQ,1086,789,72.65
20,277,ADOR,EQ,220404,70722,32.09
20,278,ADROITINFO,EQ,7874,5912,75.08
20,279,ADSL,EQ,76759,41182,53.65
20,280,ADVAIT,EQ,38030,17093,44.95
20,281,ADVANCE,EQ,145791,87786,60.21
20,282,ADVANIHOTR,EQ,16473,11419,69.32
20,283,ADVENTHTL,EQ,66081,39503,59.78
20,284,ADVENZYMES,EQ,172700,118080,68.37
20,285,ADVIKCA,EQ,566958,507364,89.49
20,286,AEGISLOG,EQ,553008,269946,48.81
20,287,AEGISVOPAK,EQ,721408,271364,37.62
20,288,AEL120126,NL,146,146,100.00
20,289,AEL170725A,NG,108,108,100.00
20,290,AEPL,EQ,23149,14410,62.25
20,291,AEQUS,EQ,1528830,651798,42.63
20,292,AEROENTER,EQ,653171,325758,49.87
20,293,AEROFLEX,EQ,953151,417171,43.77
20,294,AERON,SM,6000,5000,83.33
20,295,AERONEU,EQ,8584,6998,81.52
20,296,AEROPLANE,EQ,293534,214292,73.00
20,297,AESTHETIK,SM,6000,6000,100.00
20,298,AETHER,EQ,354417,156750,44.23
20,299,AFCONS,EQ,538629,314192,58.33
20,300,AFFLE,EQ,241180,160736,66.65
20,301,AFFORDABLE,EQ,10121,7450,73.61
20,302,AFIL,EQ,427723,216303,50.57
20,303,AFSL,EQ,14455,8931,61.78
20,304,AGARIND,EQ,32258,17109,53.04
20,305,AGARWALEYE,EQ,1926860,1178334,61.15
20,306,AGARWALFT,SM,13500,13500,100.00
20,307,AGARWALTUF,SM,13200,10800,81.82
20,308,AGI,EQ,475872,171568,36.05
20,309,AGIIL,EQ,503086,187000,37.17
20,310,AGL,EQ,2415944,898494,37.19
20,311,AGNI,SM,7500,5000,66.67
20,312,AGRITECH,EQ,7344,4516,61.49
20,313,AGROPHOS,EQ,10755,9098,84.59
20,314,AGUL,SM,2000,2000,100.00
20,315,AHCL,EQ,3294080,1361199,41.32
20,316,AHLADA,EQ,3957,3325,84.03
20,317,AHLEAST,EQ,2365,661,27.95
20,318,AHLUCONT,EQ,75376,45001,59.70
20,319,AIAENG,EQ,71716,37701,52.57
20,320,AIIL,EQ,1824874,666928,36.55
20,321,AIMTRON,SM,17600,10600,60.23
20,322,AIRAN,EQ,37527,28890,76.98
20,323,AIROLAM,EQ,320,272,85.00
20,324,AJANTPHARM,EQ,61976,32282,52.09
20,325,AJAXENGG,EQ,58190,33425,57.44
20,326,AJMERA,EQ,254749,140391,55.11
20,327,AJOONI,EQ,385193,328249,85.22
20,328,AKANKSHA,SM,2000,2000,100.00
20,329,AKASH,EQ,6193,5030,81.22
20,330,AKCAPIT,EQ,1340,954,71.19
20,331,AKG,EQ,13425,10607,79.01
20,332,AKI,EQ,141928,93018,65.54
20,333,AKIKO,SM,36000,22400,62.22
20,334,AKSHAR,EQ,1633464,1289694,78.95
20,335,AKUMS,EQ,258396,127139,49.20
20,336,ALANKIT,EQ,58779,45690,77.73
20,337,ALBERTDAVD,EQ,14450,6894,47.71
20,338,ALCODIS,SM,625,625,100.00
20,339,ALEMBICLTD,EQ,925255,428139,46.27
20,340,ALFREDHE,EQ,78,78,100.00
20,341,ALGOQUANT,EQ,1102265,205014,18.60
20,342,ALICON,EQ,30416,20330,66.84
20,343,ALIVUS,EQ,1220512,225938,18.51
20,344,ALKEM,EQ,120023,86531,72.10
20,345,ALKYLAMINE,EQ,62073,30287,48.79
20,346,ALLCARGO,EQ,18633846,5203445,27.92
20,347,ALLDIGI,EQ,6648,4841,72.82
20,348,ALLETEC,SM,16000,14000,87.50
20,349,ALLTIME,EQ,74691,46417,62.15
20,350,ALMONDZ,EQ,386915,303920,78.55
20,351,ALOKINDS,EQ,63642007,33844708,53.18
20,352,ALPA,EQ,12779,5950,46.56
20,353,ALPEXSOLAR,SM,42600,32600,76.53
20,354,ALPHA,EQ,1346992,808313,60.01
20,355,ALPHAETF,EQ,722939,415612,57.49
20,356,ALPINETEX,EQ,160355,103964,64.83
20,357,ALPL30IETF,EQ,658887,469520,71.26
20,358,ALUFLUOR,EQ,3736,2592,69.38
