Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03092026,1819883055,0003354
Trade Date <03-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,293,AIAENG,EQ,121873,64365,52.81
20,294,AIIL,EQ,263000,122096,46.42
20,295,AILIMITED,SM,15000,15000,100.00
20,296,AIMTRON,SM,13400,8400,62.69
20,297,AIRAN,EQ,37237,26964,72.41
20,298,AIROLAM,EQ,495,327,66.06
20,299,AISL,SM,3000,2400,80.00
20,300,AJANTPHARM,EQ,42779,16921,39.55
20,301,AJAXENGG,EQ,50089,27893,55.69
20,302,AJMERA,EQ,355294,166467,46.85
20,303,AJOONI,EQ,109004,86704,79.54
20,304,AKANKSHA,SM,19000,16000,84.21
20,305,AKASH,EQ,2153,1588,73.76
20,306,AKCAPIT,EQ,182,126,69.23
20,307,AKG,EQ,23251,12473,53.65
20,308,AKI,EQ,1291990,1055657,81.71
20,309,AKIKO,SM,12000,11200,93.33
20,310,AKSHAR,EQ,550317,248633,45.18
20,311,AKUMS,EQ,335921,181987,54.18
20,312,ALANKIT,EQ,74600,62061,83.19
20,313,ALBERTDAVD,EQ,1783,1114,62.48
20,314,ALCODIS,SM,625,625,100.00
20,315,ALEMBICLTD,EQ,35036495,3411730,9.74
20,316,ALFREDHE,EQ,89,82,92.13
20,317,ALGOQUANT,EQ,984808,161578,16.41
20,318,ALICON,EQ,18575,13422,72.26
20,319,ALIVUS,EQ,79310,41343,52.13
20,320,ALKEM,EQ,95991,63501,66.15
20,321,ALKYLAMINE,EQ,51387,20247,39.40
20,322,ALLCARGO,EQ,16724646,5088772,30.43
20,323,ALLDIGI,EQ,4579,3152,68.84
20,324,ALLETEC,SM,39200,32000,81.63
20,325,ALLTIME,EQ,114574,61063,53.30
20,326,ALMONDZ,EQ,284483,216357,76.05
20,327,ALOKINDS,EQ,61782463,22189707,35.92
20,328,ALPA,EQ,5832,3104,53.22
20,329,ALPEXSOLAR,SM,37700,24700,65.52
20,330,ALPHA,EQ,690509,439095,63.59
20,331,ALPHAETF,EQ,234356,128749,54.94
20,332,ALPINETEX,EQ,1147753,328786,28.65
20,333,ALPL30IETF,EQ,310325,243061,78.32
20,334,ALUFLUOR,EQ,10453,9569,91.54
20,335,ALUWIND,SM,7500,7500,100.00
20,336,AMAGI,EQ,87295,28566,32.72
20,337,AMAL,EQ,2809,2000,71.20
20,338,AMARJOTHI,EQ,360,280,77.78
20,339,AMBAAUTO,SM,4000,4000,100.00
20,340,AMBER,EQ,95945,39978,41.67
20,341,AMBICAAGAR,EQ,75462,73496,97.39
20,342,AMBIKCO,EQ,5755,3861,67.09
20,343,AMBUJACEM,EQ,918055,584487,63.67
20,344,AMCL,SM,7200,6800,94.44
20,345,AMDIND,EQ,160048,76821,48.00
20,346,AMEYA,SM,6000,6000,100.00
20,347,AMIABLE,SM,4800,0,0.00
20,348,AMJLAND,EQ,9245,5396,58.37
20,349,AMNPLST,EQ,4307,3320,77.08
20,350,AMRUTANJAN,EQ,67870,51038,75.20
20,351,ANANDRATHI,EQ,130218,72746,55.86
20,352,ANANTAM,IV,16222,16222,100.00
20,353,ANANTRAJ,EQ,22186819,3334322,15.03
20,354,ANAWIL,SM,136000,92000,67.65
20,355,ANDHRAPAP,EQ,750331,442524,58.98
20,356,ANDHRSUGAR,EQ,1156631,367430,31.77
20,357,ANDREWYU,EQ,80346,55070,68.54
20,358,ANGELONE,EQ,4732927,2113158,44.65
20,359,ANIKINDS,EQ,9572,5499,57.45
20,360,ANLON,SM,4800,4800,100.00
20,361,ANMOL,EQ,23283,20204,86.78
20,362,ANNAPURNA,EQ,21152,14418,68.16
20,363,ANONDITA,SM,51200,44400,86.72
20,364,ANSALBU,EQ,925,676,73.08
20,365,ANTELOPUS,EQ,19196421,1246974,6.50
20,366,ANTGRAPHIC,EQ,91374,84337,92.30
20,367,ANTHEM,EQ,701484,374624,53.40
20,368,ANUHPHR,EQ,93225,55852,59.91
20,369,ANUP,EQ,16507,8473,51.33
20,370,ANURAS,EQ,82580,59064,71.52
20,371,ANYA,SM,20000,10000,50.00
20,372,ANZEN,IV,25000,25000,100.00
20,373,AONEGOLD,EQ,427830,216101,50.51
20,374,AONELIQUID,EQ,14549,7451,51.21
20,375,AONENIFTY,EQ,118021,94032,79.67
20,376,AONESILVER,EQ,268580,167960,62.54
20,377,AONETMMQ50,EQ,71292,56160,78.77
20,378,AONETOTAL,EQ,155842,69440,44.56
20,379,APARINDS,EQ,208669,83408,39.97
20,380,APCL,EQ,3882,3413,87.92
20,381,APCOTEXIND,EQ,349149,178153,51.02
20,382,APEX,EQ,224093,67489,30.12
20,383,APEXECO,ST,4800,4800,100.00
20,384,APLAPOLLO,EQ,1385174,782558,56.50
20,385,APLLTD,EQ,163761,86530,52.84
20,386,APOLLO,EQ,3215994,808054,25.13
20,387,APOLLOHOSP,EQ,241427,147488,61.09
20,388,APOLLOPIPE,EQ,162498,52712,32.44
20,389,APOLLOTYRE,EQ,197622,109184,55.25
20,390,APOLSINHOT,EQ,697,525,75.32
20,391,APRAMEYA,SM,8000,5500,68.75
20,392,APS,SM,13250,8250,62.26
20,393,APSISAERO,ST,2400,2400,100.00
20,394,APTUS,EQ,1420310,981791,69.13
20,395,AQYLON,EQ,1582720,712874,45.04
20,396,ARCHIDPLY,EQ,19078,16978,88.99
20,397,ARCHIES,EQ,9243,7055,76.33
20,398,ARCIIL,SM,7000,6000,85.71
20,399,ARCL,EQ,58,55,94.83
20,400,ARDEE,EQ,4822946,2344159,48.60
20,401,ARE&M,EQ,352946,178163,50.48
20,402,ARENTERP,EQ,635,580,91.34
20,403,ARFIN,EQ,1004336,173859,17.31
20,404,ARHAM,SM,99000,70000,70.71
20,405,ARIES,EQ,60328,28168,46.69
20,406,ARIHANT,EQ,2144,1148,53.54
20,407,ARIHANTACA,SM,3600,3200,88.89
20,408,ARIHANTCAP,EQ,163522,87197,53.32
20,409,ARIHANTSUP,EQ,30352,26311,86.69
20,410,ARIS,EQ,1628246,687653,42.23
20,411,ARKADE,EQ,374251,147729,39.47
20,412,ARMANFIN,EQ,21713,12754,58.74
20,413,ARMOUR,ST,6000,6000,100.00
20,414,AROGRANITE,EQ,2282,2217,97.15
20,415,ARSSBL,EQ,106069,61120,57.62
20,416,ARTEMISMED,EQ,95982,50751,52.88
20,417,ARTNIRMAN,EQ,396,253,63.89
20,418,ARUNAYA,SM,24000,12000,50.00
20,419,ARVEE,EQ,1083,598,55.22
20,420,ARVIND,EQ,455606,212172,46.57
20,421,ARVINDFASN,EQ,132745,55574,41.87
20,422,ARVINDPORT,SM,16500,15000,90.91
20,423,ARVSMART,EQ,23247,13462,57.91
20,424,ARYAMAN,EQ,532,526,98.87
20,425,ASAHIINDIA,EQ,118263,55077,46.57
20,426,ASAL,EQ,13566,6990,51.53
20,427,ASALCBR,EQ,22698,12278,54.09
20,428,ASHALOG,SM,36000,36000,100.00
20,429,ASHAPURMIN,EQ,284037,136370,48.01
20,430,ASHIANA,EQ,14643,8886,60.68
20,431,ASHIMASYN,EQ,34870,22997,65.95
20,432,ASHOKA,EQ,964821,295260,30.60
20,433,ASHOKAMET,EQ,13117,5501,41.94
20,434,ASHOKLEY,EQ,9119654,4453371,48.83
20,435,ASHWINI,SM,3000,3000,100.00
20,436,ASIANENE,EQ,855583,334825,39.13
20,437,ASIANHOTNR,EQ,23687,10316,43.55
20,438,ASIANPAINT,EQ,589499,341851,57.99
20,439,ASIANTILES,EQ,5861094,2778240,47.40
20,440,ASIANTNE,EQ,3167,2158,68.14
20,441,ASKAUTOLTD,EQ,205122,73164,35.67
20,442,ASPINWALL,EQ,4005,3308,82.60
20,443,ASPIRE,SM,68000,38000,55.88
20,444,ASSAMENT,EQ,1,1,100.00
20,445,ASTAR,EQ,23,14,60.87
20,446,ASTEC,EQ,10624,6357,59.84
20,447,ASTERDM,EQ,3077930,1940040,63.03
20,448,ASTRAL,EQ,640757,381907,59.60
20,449,ASTRAMICRO,EQ,162924,69682,42.77
20,450,ASTRAZEN,EQ,4139,2158,52.14
20,451,ATALREAL,EQ,9781101,3796730,38.82
20,452,ATAM,EQ,5818,3462,59.50
